"sub","mapped_any","status_known","status","ts","decompiled_path"
"sub_40fc70","yes","yes","✅ (~92%)","config/SectionTypeRegistrySub401730.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40FC70.c"
"sub_40fcf0","yes","yes","✅ (~92%)","config/SectionTypeRegistrySub401730.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40FCF0.c"
"sub_40fd70","yes","yes","✅ (~90%)","config/IniRegistrySub408600.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40FD70.c"
"sub_40fde0","yes","yes","✅ (~95%)","math/Sub40FDE0.ts`, `growth/materialCurveSub4151B0.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40FDE0.c"
"sub_40ff00","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40FF00.c"
"sub_40ffc0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40FFC0.c"
"sub_4100d0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4100D0.c"
"sub_4100e0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4100E0.c"
"sub_410200","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_410200.c"
"sub_410280","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_410280.c"
"sub_4102a0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4102A0.c"
"sub_4102b0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4102B0.c"
"sub_4102c0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4102C0.c"
"sub_410950","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_410950.c"
"sub_411000","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_411000.c"
"sub_411b60","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_411B60.c"
"sub_411ea0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_411EA0.c"
"sub_412020","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_412020.c"
"sub_412040","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_412040.c"
"sub_412050","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_412050.c"
"sub_412060","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_412060.c"
"sub_412070","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_412070.c"
"sub_412080","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_412080.c"
"sub_412120","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_412120.c"
"sub_4123c0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4123C0.c"
"sub_412480","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_412480.c"
"sub_412510","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_412510.c"
"sub_412660","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_412660.c"
"sub_412700","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_412700.c"
"sub_412a50","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_412A50.c"
"sub_412bf0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_412BF0.c"
"sub_412d20","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_412D20.c"
"sub_4130d0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4130D0.c"
"sub_413350","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_413350.c"
"sub_4139d0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4139D0.c"
"sub_413c20","yes","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_413C20.c"
"sub_413cf0","yes","yes","✅ (~90%)","config/SectionTypeRegistrySub401730.ts`, `growth/virtualSlot36.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_413CF0.c"
"sub_413d70","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_413D70.c"
"sub_413df0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_413DF0.c"
"sub_413f20","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_413F20.c"
"sub_413f30","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_413F30.c"
