"sub","mapped_any","status_known","status","ts","reachable_from_runtime","runtime_depth","phase","priority_score","direct_callers","direct_mapped_callers","direct_runtime_callers","total_call_sites","mapped_call_sites","caller_sample"
"sub_41fd50","no","no","","","no","","P3-unreached","3","3","0","0","3","0","sub_4256b0, sub_4283d0, sub_4392b0"
"sub_41fe70","no","no","","","no","","P3-unreached","3","3","0","0","3","0","sub_4256b0, sub_4283d0, sub_4392b0"
"sub_426c00","no","no","","","no","","P3-unreached","3","1","0","0","3","0","sub_41e880"
"sub_429270","no","no","","","no","","P3-unreached","3","2","0","0","3","0","sub_429000, sub_429780"
"sub_42c400","no","no","","","no","","P3-unreached","3","2","0","0","3","0","sub_42b4f0, sub_42c0e0"
"sub_42e4c0","no","no","","","no","","P3-unreached","3","2","0","0","3","0","sub_403c50, sub_451d70"
"sub_42f490","no","no","","","no","","P3-unreached","3","1","0","0","3","0","sub_4525d0"
"sub_430250","no","no","","","no","","P3-unreached","3","3","0","0","3","0","sub_4330d0, sub_433170, sub_433260"
"sub_431620","no","no","","","no","","P3-unreached","3","1","0","0","3","0","sub_42f490"
"sub_436a80","no","no","","","no","","P3-unreached","3","3","0","0","3","0","sub_435450, sub_436c00, sub_436cd0"
"sub_436ed0","no","no","","","no","","P3-unreached","3","2","0","0","3","0","sub_435650, sub_435d40"
"sub_437b00","no","no","","","no","","P3-unreached","3","2","0","0","3","0","sub_427400, sub_43e1d0"
"sub_438340","no","no","","","no","","P3-unreached","3","2","0","0","3","0","sub_41e880, sub_4268e0"
"sub_439aa0","no","no","","","no","","P3-unreached","3","2","0","0","3","0","sub_4392b0, sub_43b270"
"sub_43b220","no","no","","","no","","P3-unreached","3","3","0","0","3","0","sub_4392b0, sub_43c7d0, sub_43eb70"
"sub_43b270","no","no","","","no","","P3-unreached","3","2","0","0","3","0","sub_4392b0, sub_43ac20"
"sub_43b5a0","no","no","","","no","","P3-unreached","3","2","0","0","3","0","sub_43ac20, sub_43b270"
"sub_43b760","no","no","","","no","","P3-unreached","3","2","0","0","3","0","sub_43ac20, sub_43b5a0"
"sub_43c2f0","no","no","","","no","","P3-unreached","3","2","0","0","3","0","sub_43ac20, sub_43b930"
"sub_43c650","no","no","","","no","","P3-unreached","3","3","0","0","3","0","sub_43ac20, sub_43b930, sub_43c2f0"
"sub_43c7d0","no","no","","","no","","P3-unreached","3","2","0","0","3","0","sub_43ac20, sub_43eb70"
"sub_43d1b0","no","no","","","no","","P3-unreached","3","3","0","0","3","0","sub_43ac20, sub_43ca00, sub_43cf10"
"sub_43db80","no","no","","","no","","P3-unreached","3","2","0","0","3","0","sub_4392b0, sub_43b930"
